number;name;address;position;banking;bonus;status;contract_name;bike_stands;available_bike_stands;available_bikes;last_update
13028;13028 - GOUTHIERE;12 RUE GOUTHIERE - 75013 PARIS;48.820507, 2.351342;True;False;CLOSED;Paris;33;0;0;2017-09-14T14:20:31+02:00
14114;14114 - PLACE DE CATALOGNE;4 RUE ALAIN - 75014 PARIS;48.8372933094, 2.31748293064;True;True;OPEN;Paris;43;0;0;2017-09-22T11:17:22+02:00
15038;15038 - PLACE ADOLPHE CHERIOUX;18 PLACE ADOLPHE CHERIOUX - 75015 PARIS;48.8396350806, 2.30065445929;True;False;OPEN;Paris;66;60;6;2017-09-27T11:04:00+02:00
13040;13040 - PORTE DE CHOISY;111 BOULEVARD MASSENA - 75013 PARIS;48.8199419657, 2.36507858639;True;False;OPEN;Paris;18;15;3;2017-09-29T09:28:31+02:00
5105;05105 - GEOFFROY SAINT HILAIRE;8 RUE GEOFFROY SAINT HILAIRE - 75005 PARIS;48.8390782642, 2.35687734067;True;False;OPEN;Paris;17;0;0;2017-10-02T03:42:17+02:00
12113;12113 - CARDINAL LAVIGERIE;4 PLACE DU CARDINAL LAVIGERIE - 75012 PARIS;48.8329341937, 2.4026367494;True;False;CLOSED;Paris;46;0;0;2017-10-02T07:41:30+02:00
12130;12130 - NOGENT - PORTE JAUNE;AVENUE DE NOGENT - LA PORTE JAUNE - 75012 PARIS;48.83884, 2.46031;True;False;CLOSED;Paris;40;0;0;2017-10-02T07:40:18+02:00
12007;12007 - GARE DE LYON CHALON;FACE 54 RUE DE CHALON - 75012 PARIS;48.8456889756, 2.37420369005;True;False;CLOSED;Paris;50;0;0;2017-10-02T07:53:08+02:00
14108;14108 - JOURDAN LE BRIX ET MESNIN;RUE LE BRIX ET MESNIN - 75014 PARIS;48.8223409659, 2.3278616533;True;False;CLOSED;Paris;21;0;0;2017-10-02T08:13:57+02:00
20103;20103 - LE VAU BERTEAUX;24 RUE LE VAU - 75020 PARIS;48.8680343904, 2.41103061245;True;True;CLOSED;Paris;25;0;0;2017-10-02T08:19:18+02:00
21112;21112 - DEBUSSY (CLICHY);31/35 AVENUE CLAUDE DEBUSSY - 92110 CLICHY;48.9104291257, 2.31176817577;True;False;CLOSED;Paris;28;0;0;2017-10-02T08:19:18+02:00
16105;16105 - CREVAUX;1 RUE CREVAUX - 75016 PARIS;48.8708094287, 2.28114900769;True;False;CLOSED;Paris;31;0;0;2017-10-02T08:24:55+02:00
14122;14122 - BRUNE;1 RUE DU COLONEL MONTEIL - 75014 PARIS;48.8265029331, 2.30927479983;True;False;CLOSED;Paris;19;0;0;2017-10-02T08:27:43+02:00
20104;20104 - RUE LOUIS LUMIÈRE;68 RUE LOUIS LUMIERE - 75020 PARIS;48.8621619807, 2.41112578186;True;True;CLOSED;Paris;22;0;0;2017-10-02T08:28:42+02:00
6014;06014 - PONT DE LODI DAUPHINE;7 RUE DU PONT DE LODI - 75006 PARIS;48.8552968986, 2.33994730757;True;False;CLOSED;Paris;26;0;0;2017-10-02T08:42:14+02:00
16011;16011 - VICTOR HUGO RUE DE LA POMPE;118 AVENUE VICTOR HUGO - 75016 PARIS;48.8681088869, 2.28147752242;True;False;CLOSED;Paris;39;2;0;2017-10-02T08:39:11+02:00
15070;15070 - BLANC;88 RUE BALARD - 75015 PARIS;48.8386338715, 2.27827419306;True;False;CLOSED;Paris;36;0;0;2017-10-02T08:46:05+02:00
4002;04002 - MARCHE AUX FLEURS;PLACE LOUIS LEPINE - 75004 PARIS;48.8552533608, 2.34735644764;True;False;CLOSED;Paris;24;1;0;2017-10-02T08:53:03+02:00
21008;21008 - HUGO (BOULOGNE-BILLANCOURT);74 AVENUE VICTOR HUGO - 92100 BOULOGNE-BILLANCOURT;48.8379233148, 2.24606415154;True;False;CLOSED;Paris;33;0;0;2017-10-02T08:50:53+02:00
15023;15023 - LA MOTTE PIQUET;146 BOULEVARD GRENELLE - 75015 PARIS;48.8486563159, 2.29924407695;True;False;CLOSED;Paris;34;0;0;2017-10-02T08:55:27+02:00
11019;11019 - CHARONNE PHILIPPE AUGUSTE;156 RUE DE CHARONNE - 75011 PARIS;48.855603162, 2.39054639062;True;False;CLOSED;Paris;32;0;0;2017-10-02T08:59:20+02:00
11021;11021 - PHILIPPE AUGUSTE (20EME ARR.);212 BOULEVARD CHARONNE - 75011 PARIS;48.8584450543, 2.39039812239;True;False;CLOSED;Paris;23;0;0;2017-10-02T09:06:28+02:00
13120;13120 - VITRY DESAULT;RUE PIERRE ET JOSEPH DESAULT - 75013 PARIS;48.8211387514, 2.37871860661;True;False;CLOSED;Paris;19;0;0;2017-10-02T09:10:15+02:00
15120;15120 - AVIA;26 RUE DU COLONEL PIERRE AVIA - 75015 PARIS;48.8296843301, 2.27534258685;True;False;CLOSED;Paris;29;0;0;2017-10-02T09:18:30+02:00
5107;05107 - PONTOISE;1 RUE DE PONTOISE - 75005 PARIS;48.8504580092, 2.35245427549;True;False;CLOSED;Paris;23;1;0;2017-10-02T09:18:25+02:00
11016;11016 - PHILIPPE AUGUSTE;5 RUE DU PASSAGE PHILIPPE AUGUSTE - 75011 PARIS;48.8518182, 2.39325537631;True;False;CLOSED;Paris;46;2;0;2017-10-02T09:18:13+02:00
22012;22012 - MICHELIS (NEUILLY);32 RUE DE MADELEINE MICHELIS - 92200 NEUILLY;48.8827499155, 2.27740638128;True;False;CLOSED;Paris;25;0;0;2017-10-02T09:23:12+02:00
16008;16008 - GALILEE KLEBER;1 RUE GALILEE - 75016 PARIS;48.8674118657, 2.29078138011;True;True;CLOSED;Paris;32;0;0;2017-10-02T09:20:23+02:00
12105;12105 - BERCY VILLOT;153 RUE DE BERCY - 75012 PARIS;48.8419071533, 2.37660562531;True;False;CLOSED;Paris;35;0;0;2017-10-02T09:35:34+02:00
21304;21304 - BLUM (ISSY LES MOULINEAUX);FACE 2 PLACE LEON BLUM - 92100 ISSY LES MOULINEAUX;48.8209551079, 2.26073641335;True;False;CLOSED;Paris;20;0;0;2017-10-02T09:37:32+02:00
22002;22002 - ARGENSON (NEUILLY);44 BOULEVARD D'ARGENSON - 92200 NEUILLY;48.8886487736, 2.26390460269;True;False;CLOSED;Paris;25;0;0;2017-10-02T09:42:58+02:00
12119;12119 - DOM PÉRIGNON GRAVELLE;ROUTE DOM PERIGNON - 75012 PARIS;48.8255844311, 2.4098309418;True;False;CLOSED;Paris;50;0;0;2017-10-02T09:48:06+02:00
16004;16004 - BOULEVARD LANNES;FACE 2 BOULEVARD LANNES - 75016 PARIS;48.870753284, 2.27487529834;True;False;CLOSED;Paris;70;0;0;2017-10-02T09:46:21+02:00
9004;09004 - ROCHECHOUART GERANDO;19 RUE GUERANDO - 75009 PARIS;48.8829110895, 2.34631937163;True;True;CLOSED;Paris;21;0;0;2017-10-02T09:51:27+02:00
6025;06025 - RENNES - ASSAS;16 RUE D'ASSAS - 75006 PARIS;48.8492084999, 2.32851454623;True;False;CLOSED;Paris;32;0;0;2017-10-02T10:05:18+02:00
9026;09026 - BRUYERE PIGALLE;28 RUE J.B.PIGALLE - 75009 PARIS;48.8793982645, 2.33370917334;True;False;CLOSED;Paris;17;0;0;2017-10-02T10:11:57+02:00
10028;10028 - GARE DU NORD DENAN;24 RUE DE DUNKERQUE - 75010 PARIS;48.880370621, 2.35282005703;True;True;CLOSED;Paris;29;1;0;2017-10-02T10:15:53+02:00
19124;19124 - ALEXANDER FLEMMING;RUE ALEXANDER FLEMMING - 75019 PARIS;48.8817697939, 2.40317936797;True;True;CLOSED;Paris;31;0;0;2017-10-02T10:15:27+02:00
19044;19044 - GRANDS MOULINS;RUE DE LA CLOTURE / ANGLE RUE DU DEBARCADERE - 75019 PARIS;48.8971300531, 2.39607900821;True;False;CLOSED;Paris;50;0;0;2017-10-02T10:21:32+02:00
16012;16012 - BOULEVARD FLANDRIN;68 BOULEVARD FLANDRIN - 75016 PARIS;48.8687784918, 2.27435453918;True;False;CLOSED;Paris;42;0;0;2017-10-02T10:25:09+02:00
4018;04018 - RIVOLI SEBASTOPOL;1 RUE SAINT BON - 75004 PARIS;48.8579996433, 2.35021728098;True;False;CLOSED;Paris;19;0;0;2017-10-02T10:24:18+02:00
19113;19113 - PRE ST GERVAIS;27 RUE DU PRE SAINT GERVAIS - 75019 PARIS;48.8779234119, 2.39598555362;True;True;CLOSED;Paris;27;0;0;2017-10-02T10:30:31+02:00
15034;15034 - COMMERCE;2 RUE LAKANAL - 75015 PARIS;48.8444259195, 2.29404143328;True;False;CLOSED;Paris;55;0;0;2017-10-02T10:35:33+02:00
10110;10110 - LOUIS BLANC;10 RUE LOUIS BLANC - 75010 PARIS;48.8793321747, 2.36862871575;True;False;CLOSED;Paris;31;30;0;2017-10-02T10:37:58+02:00
20120;20120 - NOISY LE SEC;1 RUE EVARISTE GALOIS - 75020 PARIS;48.8733382252, 2.41323987955;True;True;CLOSED;Paris;30;0;0;2017-10-02T10:42:38+02:00
